"Name","Value"
"ACSetupSvcPort","23210"
"ACSvcPort","17532"
"ALLUSERSPROFILE","C:\ProgramData"
"APPDATA","C:\Users\rober\AppData\Roaming"
"CommonProgramFiles","C:\Program Files\Common Files"
"CommonProgramFiles(x86)","C:\Program Files (x86)\Common Files"
"CommonProgramW6432","C:\Program Files\Common Files"
"COMPUTERNAME","ROBERT"
"ComSpec","C:\WINDOWS\system32\cmd.exe"
"DriverData","C:\Windows\System32\Drivers\DriverData"
"EnableLog","INFO"
"GOPATH","C:\Users\rober\go"
"HOMEDRIVE","C:"
"HOMEPATH","\Users\rober"
"LOCALAPPDATA","C:\Users\rober\AppData\Local"
"LOGONSERVER","\\ROBERT"
"NUMBER_OF_PROCESSORS","16"
"OneDrive","C:\Users\rober\OneDrive"
"OS","Windows_NT"
"Path","C:\Program Files (x86)\Common Files\Oracle\Java\java8path;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\dotnet\;C:\Program Files\AutoFirma\AutoFirma;C:\Program Files\Go\bin;C:\Program Files\nodejs\;C:\Program Files\WireGuard\;C:\Program Files\NVIDIA Corporation\NVIDIA App\NvDLISR;C:\Program Files\Git\cmd;C:\Program Files\Mullvad VPN\resources;C:\Program Files\MySQL\MySQL Shell 8.0\bin\;C:\Users\rober\AppData\Local\Microsoft\WindowsApps;C:\Users\rober\AppData\Local\Programs\Microsoft VS Code\bin;C:\Users\rober\go\bin;C:\Users\rober\AppData\Roaming\npm;C:\Users\rober\AppData\Local\PowerToys\DSCModules\;C:\Users\rober\AppData\Local\GitHubDesktop\bin"
"PATHEXT",".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.CPL"
"PROCESSOR_ARCHITECTURE","AMD64"
"PROCESSOR_IDENTIFIER","AMD64 Family 25 Model 68 Stepping 1, AuthenticAMD"
"PROCESSOR_LEVEL","25"
"PROCESSOR_REVISION","4401"
"ProgramData","C:\ProgramData"
"ProgramFiles","C:\Program Files"
"ProgramFiles(x86)","C:\Program Files (x86)"
"ProgramW6432","C:\Program Files"
"PSModulePath","C:\Users\rober\Documents\WindowsPowerShell\Modules;C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules"
"PUBLIC","C:\Users\Public"
"RlsSvcPort","22112"
"SESSIONNAME","Console"
"SystemDrive","C:"
"SystemRoot","C:\WINDOWS"
"TEMP","C:\Users\rober\AppData\Local\Temp"
"TMP","C:\Users\rober\AppData\Local\Temp"
"USERDOMAIN","ROBERT"
"USERDOMAIN_ROAMINGPROFILE","ROBERT"
"USERNAME","rober"
"USERPROFILE","C:\Users\rober"
"VBOX_MSI_INSTALL_PATH","C:\Program Files\Oracle\VirtualBox\"
"windir","C:\WINDOWS"
"WSLENV","WT_SESSION:WT_PROFILE_ID:"
"WT_PROFILE_ID","{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"
"WT_SESSION","a21988d8-2934-4756-9559-5f0e1e8ddd5d"
